C.D.S.  -  SIMBAD4 rel 1.8  -  2022.07.08CEST16:43:04

Distance.distance <   16 & Distance.unit = 'pc' & maintype != 'cor' & nbref   > 10
----------------------------------------------------------------------------------

Number of objects : 1568

 #  |            identifier             |typ|      coord1 (Gal,J2000/2000)      |#bib|#dist| distance Q unit|  err-        err+     | method |     reference     
342 |GJ 206                             |Er*|194.7781686221229 -12.6653393804423| 127|    1|   12.964   pc  |  -0.0045     +0.0045  |paral   |2020yCat.1350....0G
343 |GJ 1080                            |SB*|200.3822715274989 -16.9756588189966|  39|    1|   21.0494  pc  |  -0.0251     +0.0251  |paral   |2020yCat.1350....0G
344 |GJ 9183                            |Er*|202.0172368205121 -16.2783308137663| 147|    1|   15.783   pc  |  -0.0119     +0.0119  |paral   |2020yCat.1350....0G
345 |GJ 204                             |PM*|206.3965564337484 -20.0336065467993| 194|    1|   12.9283  pc  |  -0.0033     +0.0033  |paral   |2020yCat.1350....0G
346 |GJ 205                             |PM*|206.9346786306939 -19.4475592653010| 474|    1|    5.7040  pc  |  -0.0006     +0.0006  |paral   |2020yCat.1350....0G
347 |GJ 3357                            |PM*|211.2455942197961 -20.2318504939283|  39|    1|   15.0506  pc  |  -0.0055     +0.0055  |paral   |2020yCat.1350....0G
348 |GJ 3350                            |PM*|233.9719862365966 -29.5764425572717|  24|    1|   15.3068  pc  |  -0.0041     +0.0041  |paral   |2020yCat.1350....0G
349 |RX J0529.7-3239                    |LM*|236.6247666086900 -30.4981203677027|  15|    1|   29.762   pc  |  -0.0166     +0.0166  |paral   |2020yCat.1350....0G
350 |SCR J0533-4257                     |LM*|248.5958006175778 -31.8753975382989|  21|    1|   10.424   pc  |  -0.0267     +0.0267  |paral   |2020yCat.1350....0G
351 |LSR J0539+4038                     |PM*|169.3528702164526 +05.0642356179190|  27|    1|   11.3669  pc  |  -0.0103     +0.0103  |paral   |2020yCat.1350....0G
352 |GJ 1083                            |Er*|182.911862854 -03.155739173        |  67|    1|    7       pc  |                       |ST-L    |2014AJ....147...20N
353 |GJ 213                             |BY*|193.7082012050674 -09.2120748371581| 248|    1|    5.7911  pc  |  -0.0009     +0.0009  |paral   |2020yCat.1350....0G
354 |LSPM J0540+0854                    |Em*|196.6922588623749 -11.2906981956030|  14|    1|   15.691   pc  |  -0.0065     +0.0065  |paral   |2020yCat.1350....0G
355 |SIPS J0539-0059                    |BD*|205.4598648983369 -16.3333659162375|  77|    1|   12.667   pc  |  -0.0578     +0.0578  |paral   |2020yCat.1350....0G
356 |GJ 1085                            |PM*|209.3781090576254 -15.8418398568372| 277|    1|   15.210   pc  |  -0.0071     +0.0071  |paral   |2020yCat.1350....0G
357 |GJ 2045                            |PM*|209.9044704927980 -17.8775805747976|  27|    1|   12.9729  pc  |  -0.0038     +0.0038  |paral   |2020yCat.1350....0G
358 |GJ 216 B                           |BY*|226.7666557192065 -24.2681882203348| 161|    1|    8.8915  pc  |  -0.0017     +0.0017  |paral   |2020yCat.1350....0G
359 |GJ 216 A                           |PM*|226.7957616617991 -24.2730976932559| 412|    1|    8.9050  pc  |  -0.0115     +0.0115  |paral   |2020yCat.1350....0G
360 |GJ 218                             |PM*|241.7593287852894 -27.8428182458851|  66|    1|   14.4989  pc  |  -0.0029     +0.0029  |paral   |2020yCat.1350....0G
361 |G 100-50                           |** |188.0562132311775 -01.2829668518197|  23|    1|   16.4728  pc  |  -0.2081     +0.2081  |paral   |2018yCat.1345....0G
362 |GJ 222                             |RS*|188.4580468119 -02.7324804656      | 824|    1|    8.8399  pc  |  -0.0248     +0.0248  |paral   |2018yCat.1345....0G
363 |GJ 1087                            |WD*|201.7526444283710 -09.6738872237572| 147|    1|    8.1169  pc  |  -0.0011     +0.0011  |paral   |2020yCat.1350....0G
364 |GJ 1086                            |WD*|206.1090857410502 -13.4232433653660| 142|    1|   11.222   pc  |  -0.0027     +0.0027  |paral   |2020yCat.1350....0G
365 |GJ 9193                            |WD*|210.2177610078036 -14.4143820470638| 110|    1|    6.4417  pc  |  -0.0007     +0.0007  |paral   |2020yCat.1350....0G
366 |PM J05566-1018                     |LM*|216.1124738021729 -16.7888045284790|  11|    1|   15.914   pc  |  -0.0058     +0.0058  |paral   |2020yCat.1350....0G
367 |GJ 225                             |PM*|219.7552843693907 -18.4713915006667| 329|    1|   14.9572  pc  |  -0.0393     +0.0393  |paral   |2020yCat.1350....0G
368 |2MASS J05591914-1404488            |BD*|219.9781816946197 -17.7915545900004| 140|    1|   10.4963  pc  |  -0.0790     +0.0790  |paral   |2020yCat.1350....0G
369 |LP 837-53                          |PM*|232.2846656560427 -23.3988601292023|  29|    1|   14.021   pc  |  -0.0123     +0.0123  |ST-L    |2020AJ....160...83S
370 |LSR J0602+3910                     |BD*|172.8638509451496 +08.1591258596579|  37|    1|   11.6608  pc  |  -0.0171     +0.0171  |paral   |2020yCat.1350....0G
371 |GJ 227                             |PM*|194.0241159103393 -02.5350866043970| 156|    1|   15.771   pc  |  -0.0067     +0.0067  |paral   |2020yCat.1350....0G
372 |GJ 228                             |** |199.10763856 -04.14876755          |  67|    1|   10.91    pc  |  -0.42       +0.42    |ST-L    |2010MNRAS.403.1949K
373 |GJ 3379                            |Er*|204.5623109184389 -10.1428308565486| 123|    1|    5.2079  pc  |  -0.0008     +0.0008  |paral   |2020yCat.1350....0G
374 |LP 719-10                          |PM*|215.8080121236283 -14.9477316447914|  14|    1|   15.3002  pc  |  -0.0081     +0.0081  |paral   |2020yCat.1350....0G
375 |GJ 3382                            |PM*|226.3354492500011 -19.6153314830324|  24|    1|   15.0339  pc  |  -0.0044     +0.0044  |paral   |2020yCat.1350....0G
376 |GJ 229 B                           |BD*|228.61456 -18.43930                | 481|    1|    5.8     pc  |                       |plx     |2012ApJ...753..156K
377 |GJ 229                             |Er*|228.6122808272455 -18.4391805455049| 433|    1|    5.7612  pc  |  -0.0005     +0.0005  |paral   |2020yCat.1350....0G
378 |LP 838-16                          |PM*|232.1746258239247 -20.4888399167754|  31|    1|   11.402   pc  |  -0.0024     +0.0024  |paral   |2020yCat.1350....0G
379 |V* AP Col                          |Er*|240.9435958960227 -23.9895928448560|  64|    1|    8.6656  pc  |  -0.0022     +0.0022  |paral   |2020yCat.1350....0G
380 |GJ 1088                            |PM*|250.6565237271789 -25.2871229600347|  33|    1|   11.185   pc  |  -0.0083     +0.0083  |ST-L    |2020AJ....160...83S
381 |LP 779-34                          |PM*|223.8658146337960 -15.2743299387461|  11|    1|   12.8973  pc  |  -0.0033     +0.0033  |paral   |2020yCat.1350....0G
382 |HD 43162B                          |** |230.8602945356913 -18.5251805540543|  15|    1|   16.842   pc  |  -0.1196     +0.1196  |paral   |2020yCat.1350....0G
383 |RX J0613.2-2742                    |** |234.5904564533494 -20.0449656969864|  34|    1|   33.766   pc  |  -0.2484     +0.2484  |paral   |2020yCat.1350....0G
384 |GJ 3396                            |Er*|173.2648753371844 +14.1938417164516|  42|    1|   27.849   pc  |  -0.0195     +0.0195  |paral   |2020yCat.1350....0G
385 |GJ 232                             |PM*|189.0937461637469 +04.9473361621804|  84|    1|    8.4942  pc  |  -0.0020     +0.0020  |paral   |2020yCat.1350....0G
386 |GJ 233                             |BY*|193.4098870948336 +03.0898897960295| 234|    1|   14.617   pc  |  -0.0210     +0.0210  |paral   |2020yCat.1350....0G
387 |GJ 234                             |Er*|212.9284419392869 -06.1865934671430| 340|    1|    4.1158  pc  |  -0.0149     +0.0149  |paral   |2018yCat.1345....0G
388 |GJ 239                             |PM*|195.6734846171088 +04.8677697509999| 155|    1|    9.9976  pc  |  -0.0020     +0.0020  |paral   |2020yCat.1350....0G
389 |GJ 3405                            |PM*|208.6850690342541 -00.4090838441701|  20|    1|   15.138   pc  |  -0.0074     +0.0074  |paral   |2020yCat.1350....0G
390 |GJ 3404                            |PM*|208.6904416346479 -00.4218780238543|  58|    1|   15.157   pc  |  -0.0069     +0.0069  |paral   |2020yCat.1350....0G
391 |LP 780-32                          |PM*|230.625870828 -11.911904621        |  29|    1|   11.4     pc  |  -1.9        +1.9     |        |2004AJ....128..463R
392 |GJ 246                             |WD*|178.2886943042652 +15.4243998450845| 155|    1|   17.0842  pc  |  -0.0127     +0.0127  |paral   |2020yCat.1350....0G
393 |GJ 1092                            |PM*|178.7891507739980 +15.5378187401583|  40|    1|   14.4504  pc  |  -0.0061     +0.0061  |paral   |2020yCat.1350....0G
394 |GJ 251                             |PM*|182.9363415701456 +15.1354340754065| 201|    1|    5.5846  pc  |  -0.0008     +0.0008  |paral   |2020yCat.1350....0G
395 |GJ 250 A                           |PM*|217.6368236890958 -02.1652230378824| 192|    1|    8.747   pc  |  -0.0032     +0.0032  |ST-L    |2020AJ....160...83S
396 |GJ 250 B                           |** |217.6513333384723 -02.1726684016212| 113|    1|    8.7495  pc  |  -0.0016     +0.0016  |paral   |2020yCat.1350....0G
397 |GJ 244 B                           |WD*|227.2316564388949 -08.8892179862002| 520|    1|    2.6703  pc  |  -0.0016     +0.0016  |paral   |2020yCat.1350....0G
398 |GJ 3423                            |Er*|182.2535356712329 +17.3193203685543|  42|    1|   13.272   pc  |  -0.0050     +0.0050  |paral   |2020yCat.1350....0G
399 |GJ 3420                            |WD*|184.6952169393854 +15.8080791318650|  42|    1|   19.6193  pc  |  -0.0205     +0.0205  |paral   |2020yCat.1350....0G
400 |2MASS J07003664+3157266            |BD*|184.6791417434839 +15.7573223519961|  36|    1|   11.2337  pc  |  -0.0463     +0.0463  |paral   |2020yCat.1350....0G
401 |GJ 1093                            |PM*|196.4059700943877 +10.4010412579777|  69|    1|    7.7527  pc  |  -0.0036     +0.0036  |paral   |2020yCat.1350....0G
402 |GJ 261                             |WD*|219.8752091255871 -00.6254440158229|  40|    1|   20.6959  pc  |  -0.0131     +0.0131  |paral   |2020yCat.1350....0G
403 |GJ 263 B                           |SB*|223.7428637026179 -01.9541719110167|  53|    1|   15.7355  pc  |  -0.1273     +0.1273  |paral   |2018yCat.1345....0G
404 |GJ 259                             |PM*|237.3014346307735 -09.5173176018067|  77|    1|   14.749   pc  |  -0.0475     +0.0475  |paral   |2020yCat.1350....0G
405 |LP 206-11                          |** |173.983790791 +21.681665417        |  36|    1|   12.2     pc  |                       |ST-L    |2015ApJ...812....3W
406 |GJ 268 A                           |SB*|178.9542717642513 +19.9049070940649| 220|    1|    6.0527  pc  |  -0.0023     +0.0023  |paral   |2020yCat.1350....0G
407 |GJ 3438                            |** |178.7397730924644 +21.6375639927666|  43|    1|   14.021   pc  |  -0.0046     +0.0046  |paral   |2020yCat.1350....0G
408 |GJ 1096                            |Er*|184.7796293122538 +19.2711614096958|  36|    1|   15.2728  pc  |  -0.0066     +0.0066  |paral   |2020yCat.1350....0G
409 |GJ 268.3                           |PM*|190.6751900490198 +17.0897988729025|  57|    1|   11.922   pc  |  -0.0549     +0.0549  |paral   |2020yCat.1350....0G
410 |RX J0713.1-0511                    |PM*|220.0408130354506 +02.4463079896280|  14|    1|   11.4933  pc  |  -0.0033     +0.0033  |paral   |2020yCat.1350....0G
411 |2MASSI J0727182+171001             |BD*|201.27042875 +15.49289855          |  80|    1|    9.1     pc  |                       |plx     |2012ApJ...753..156K
412 |GJ 273                             |PM*|212.3445627523984 +10.3735144475450| 376|    1|    3.7860  pc  |  -0.0005     +0.0005  |paral   |2020yCat.1350....0G
413 |GJ 3442                            |PM*|233.7692842672706 -00.7026063178149|  19|    1|   13.5191  pc  |  -0.0962     +0.0962  |paral   |2020yCat.1350....0G
414 |GJ 2060                            |Ro*|243.94074496 -06.01119381          |  72|    1|   15       pc  |  -6          +6       |paral   |2012ApJ...758...56S
415 |GJ 277 B                           |BY*|182.7776917681856 +23.3132655494524| 117|    1|   11.9904  pc  |  -0.0036     +0.0036  |paral   |2020yCat.1350....0G
416 |GJ 278 C                           |BY*|187.4621873623323 +22.4784546877142| 840|    1|   15.080   pc  |  -0.0054     +0.0054  |paral   |2020yCat.1350....0G
417 |GJ 3454                            |** |211.670508893 +13.204271899        |  57|    1|    9.0     pc  |                       |ST-L    |2015ApJ...812....3W
418 |GJ 280 B                           |WD*|213.7025875 +13.0181154            | 149|    1|    3.5     pc  |  -0.0        +0.0     |ST-L    |2015ApJS..219...19L
419 |GJ 281                             |PM*|216.4864581349389 +11.6582766529636| 122|    1|   15.074   pc  |  -0.0047     +0.0047  |paral   |2020yCat.1350....0G
420 |GJ 1099                            |PM*|216.9751657855913 +09.9781760961945|  29|    1|   15.6241  pc  |  -0.0066     +0.0066  |paral   |2020yCat.1350....0G
421 |GJ 282 B                           |PM*|221.7721968875484 +09.1097383104067|  52|    1|   14.086   pc  |  -0.0050     +0.0050  |paral   |2020yCat.1350....0G
422 |GJ 282 C                           |SB*|220.8644844426021 +08.4768856173557|  54|    1|   14.2298  pc  |  -0.0265     +0.0265  |paral   |2020yCat.1350....0G
423 |GJ 282 A                           |BY*|221.7595789007763 +09.0995627832019| 180|    1|   14.094   pc  |  -0.0145     +0.0145  |ST-L    |2020AJ....160...83S
424 |GJ 283 B                           |PM*|233.9566563825099 +02.4822995021923|  69|    1|    9.1529  pc  |  -0.0032     +0.0032  |paral   |2020yCat.1350....0G
425 |GJ 283 A                           |WD*|233.9602153372693 +02.4867604286601| 190|    1|    9.1454  pc  |  -0.0015     +0.0015  |paral   |2020yCat.1350....0G
426 |L 528-16                           |PM*|245.7450733162504 -04.7110284080222|  14|    1|   15.412   pc  |  -0.0032     +0.0032  |paral   |2020yCat.1350....0G
427 |L 456-27                           |PM*|249.4974045498282 -08.1542032634656|  14|    1|   15.338   pc  |  -0.0037     +0.0037  |ST-L    |2020AJ....160...83S
428 |GJ 289                             |PM*|200.2302046600376 +21.3152937085986|  76|    1|   14.6987  pc  |  -0.0048     +0.0048  |paral   |2020yCat.1350....0G
429 |LSPM J0746+2000                    |BD*|200.43739304 +20.83940717          | 174|    1|    8.6     pc  |  -1.6        +1.6     |ST-L    |2010AJ....139.1808S
430 |LP 423-31                          |PM*|204.7471580768823 +20.6036426377621|  50|    1|   18.8811  pc  |  -0.0185     +0.0185  |paral   |2020yCat.1350....0G
431 |GJ 3463                            |PM*|214.8512722149955 +15.9573886170887|  33|    1|   14.7882  pc  |  -0.0041     +0.0041  |paral   |2020yCat.1350....0G
432 |GJ 285                             |Er*|215.8560396542022 +13.4573387890531| 829|    1|    5.9888  pc  |  -0.0012     +0.0012  |paral   |2020yCat.1350....0G
433 |GJ 1103 A                          |PM*|219.9579180606113 +13.4203575549464|  48|    1|    9.2722  pc  |  -0.0036     +0.0036  |paral   |2020yCat.1350....0G
434 |GJ 288 B                           |WD*|248.9035995560585 -04.6752933432468|  37|    1|   15.4278  pc  |  -0.0083     +0.0083  |paral   |2020yCat.1350....0G
435 |GJ 288 A                           |PM*|249.1080728999560 -04.8056950297647| 290|    1|   15.2778  pc  |  -0.0500     +0.0500  |paral   |2020yCat.1350....0G
436 |2MASS J07584037+3247245            |BD*|188.1736181647102 +27.6001778562460|  37|    1|   10.8779  pc  |  -0.2058     +0.2058  |paral   |2020yCat.1350....0G
437 |GJ 3467                            |Er*|213.9554298723421 +18.1301226408003|  22|    1|   13.1095  pc  |  -0.0045     +0.0045  |paral   |2020yCat.1350....0G
438 |GJ 299                             |PM*|214.1266977885152 +21.8550523770745| 183|    1|    6.7694  pc  |  -0.0043     +0.0043  |paral   |2020yCat.1350....0G
439 |GJ 300                             |PM*|241.4597545731141 +06.8820292595779|  92|    1|    8.1166  pc  |  -0.0015     +0.0015  |paral   |2020yCat.1350....0G
440 |2MASSI J0825196+211552             |BD*|202.7504943645061 +29.7175113155675| 108|    1|   10.7991  pc  |  -0.0958     +0.0958  |paral   |2020yCat.1350....0G
441 |GJ 2066                            |PM*|221.7383312894604 +19.3746774270577| 115|    1|    8.9389  pc  |  -0.0018     +0.0018  |paral   |2020yCat.1350....0G
442 |GJ 302                             |PM*|234.5634124187919 +12.8237453469394| 494|    1|   12.5794  pc  |  -0.0063     +0.0063  |paral   |2020yCat.1350....0G
443 |GJ 1111                            |Er*|197.0145898552318 +32.4208148424960| 271|    1|    3.5810  pc  |  -0.0008     +0.0008  |paral   |2020yCat.1350....0G
444 |HD 71926                           |Ro*|224.7166531489539 +21.7727787717181|  15|    1|  103.471   pc  |  -0.2998     +0.2998  |paral   |2020yCat.1350....0G
445 |GJ 2070                            |PM*|226.4093239716908 +22.1755047095215|  28|    1|   13.4383  pc  |  -0.0050     +0.0050  |paral   |2020yCat.1350....0G
446 |2MASS J08354256-0819237            |BD*|233.1362084907936 +18.7212830146741|  58|    1|    7.2298  pc  |  -0.0112     +0.0112  |paral   |2020yCat.1350....0G
447 |SSSPM J0829-1309                   |BD*|236.3892492935470 +14.6323619226156|  44|    1|   11.6821  pc  |  -0.0195     +0.0195  |paral   |2020yCat.1350....0G
448 |GJ 309                             |PM*|252.2706981584577 +04.9735525744516| 200|    1|   12.1643  pc  |  -0.0026     +0.0026  |paral   |2020yCat.1350....0G
449 |GJ 316.1                           |Er*|207.3280807575037 +32.0594391232232|  79|    1|   13.5396  pc  |  -0.0123     +0.0123  |paral   |2020yCat.1350....0G
450 |G 9-19                             |PM*|207.9618254888960 +32.9375194831388|  25|    1|   31.4339  pc  |  -0.0394     +0.0394  |paral   |2020yCat.1350....0G
451 |GJ 319 C                           |PM*|217.0267242478500 +29.0639647494351|  72|    1|   15.4547  pc  |  -0.0051     +0.0051  |paral   |2020yCat.1350....0G
452 |GJ 319                             |** |217.007327473 +29.037053934        |  95|    1|   15.43    pc  |  -0.56       +0.56    |ST-L    |2010MNRAS.403.1949K
453 |GJ 317                             |PM*|246.7993552887810 +11.1898872895067| 125|    1|   15.1798  pc  |  -0.0093     +0.0093  |paral   |2020yCat.1350....0G
454 |GJ 318                             |WD*|254.5349915096451 +05.5785780874790| 288|    1|    8.5181  pc  |  -0.0014     +0.0014  |paral   |2020yCat.1350....0G
455 |GJ 324 B                           |PM*|196.8180066700027 +37.7134456247563| 136|    1|   12.554   pc  |  -0.0074     +0.0074  |paral   |2020yCat.1350....0G
456 |GJ 324 A                           |PM*|196.7946531107533 +37.6988974333162|1037|    1|   12.5868  pc  |  -0.0067     +0.0067  |paral   |2020yCat.1350....0G
457 |GJ 1116 B                          |PM*|207.5513983376141 +36.4658616813308|  49|    1|    5.0952  pc  |  -0.0051     +0.0051  |paral   |2020yCat.1350....0G
458 |G 41-8                             |** |215.3681889584665 +33.3719801571835|  26|    1|   11.654   pc  |  -0.0039     +0.0039  |paral   |2020yCat.1350....0G
459 |GJ 3522                            |SB*|220.192844817 +32.143341870        |  90|    1|    4.39    pc  |  -0.69       +0.69    |ST-L    |2014AJ....147...85R
460 |GJ 3517                            |LM*|231.3032204959912 +25.0645239304730| 238|    1|    8.6589  pc  |  -0.0054     +0.0054  |paral   |2020yCat.1350....0G
461 |GJ 3518                            |Er*|249.1756014262817 +13.5525767623229|  25|    1|   15.6063  pc  |  -0.0543     +0.0543  |paral   |2020yCat.1350....0G
462 |L 532-12                           |LM*|254.5491681066102 +08.9507199384747|  16|    1|   30.163   pc  |  -0.0206     +0.0206  |paral   |2020yCat.1350....0G
463 |GJ 915                             |WD*|331.6516011044283 -71.1108105268750| 105|    1|    8.3323  pc  |  -0.0014     +0.0014  |paral   |2020yCat.1350....0G
464 |GJ 32 B                            |PM*|307.0256246859156 -75.1738855484853|  14|    1|   15.7294  pc  |  -0.0054     +0.0054  |paral   |2020yCat.1350....0G
465 |GJ 32 A                            |PM*|307.0308535439983 -75.1742007301836|  26|    1|   15.7248  pc  |  -0.0056     +0.0056  |paral   |2020yCat.1350....0G
466 |HD 4378                            |** |307.03085264 -75.17419635          |  42|    1|   15.82    pc  |  -0.24       +0.24    |ST-L    |2010MNRAS.403.1949K
467 |GJ 1046                            |PM*|245.9018203674775 -69.1086082595544|  49|    1|   15.2474  pc  |  -0.0211     +0.0211  |paral   |2020yCat.1350....0G
468 |GJ 4248                            |PM*|006.4398584363643 -53.1882749204932|  52|    1|    7.6676  pc  |  -0.0031     +0.0031  |paral   |2020yCat.1350....0G
469 |GJ 1001 A                          |PM*|335.3166702724298 -73.3168106445911|  73|    1|   12.3118  pc  |  -0.0052     +0.0052  |paral   |2020yCat.1350....0G
470 |GJ 1001 B                          |BD*|335.3279112177225 -73.3129174911957|  97|    1|   12.1438  pc  |  -0.0376     +0.0376  |paral   |2020yCat.1350....0G
471 |GJ 3049                            |PM*|309.0463851869831 -75.7402954318865|  32|    1|   10.2395  pc  |  -0.0033     +0.0033  |paral   |2020yCat.1350....0G
472 |GJ 1050                            |PM*|236.3580993650018 -65.7341196644363|  30|    1|   10.8692  pc  |  -0.0020     +0.0020  |paral   |2020yCat.1350....0G
473 |GJ 4207                            |PM*|011.7546764407394 -48.3058327686500|  27|    1|   12.0952  pc  |  -0.0065     +0.0065  |paral   |2020yCat.1350....0G
474 |GJ 887                             |PM*|005.1008135559570 -65.9570838521579| 244|    1|    3.2880  pc  |  -0.0002     +0.0002  |paral   |2020yCat.1350....0G
475 |GJ 4350                            |PM*|357.6657666522245 -71.6523327801495|  26|    1|   11.9508  pc  |  -0.0033     +0.0033  |paral   |2020yCat.1350....0G
476 |GJ 1                               |Er*|343.5537340111399 -75.9030230647552| 194|    1|    4.3459  pc  |  -0.0006     +0.0006  |paral   |2020yCat.1350....0G
477 |LP 938-71                          |LM*|290.7548458800826 -79.2281806869905|  31|    1|   11.3261  pc  |  -0.0071     +0.0071  |paral   |2020yCat.1350....0G
478 |GJ 871.1 A                         |BY*|012.5083267040768 -62.1063584725892| 106|    1|   20.867   pc  |  -0.0110     +0.0110  |paral   |2020yCat.1350....0G
479 |GJ 871.1 B                         |Er*|012.4927605375348 -62.1131648502373|  71|    1|   20.835   pc  |  -0.0130     +0.0130  |paral   |2020yCat.1350....0G
480 |GJ 4387                            |PM*|357.5745013866163 -76.9052678772912|  26|    1|   15.6835  pc  |  -0.0095     +0.0095  |paral   |2020yCat.1350....0G
481 |GJ 3001                            |WD*|355.8251539113757 -77.3524173422638|  60|    1|   14.8084  pc  |  -0.0062     +0.0062  |paral   |2020yCat.1350....0G
482 |2MASS J00501994-3322402            |BD*|305.05096394 -83.74585020          |  34|    1|   10.7     pc  |                       |ST-L    |2012ApJ...753..156K
483 |GJ 2022                            |** |258.646049456 -80.174077931        |  25|    1|   11       pc  |                       |ST-L    |2006AJ....132..866R
484 |GJ 2022 B                          |PM*|258.6441375493612 -80.1739952463323|  12|    1|   25.127   pc  |  -0.0164     +0.0164  |paral   |2020yCat.1350....0G
485 |GJ 2022 A                          |PM*|258.6475482778020 -80.1740427119781|  11|    1|   25.152   pc  |  -0.0159     +0.0159  |paral   |2020yCat.1350....0G
486 |GJ 3149                            |Er*|229.6764844646067 -71.0302843868551|  36|    1|   13.3979  pc  |  -0.0072     +0.0072  |paral   |2020yCat.1350....0G
487 |GJ 3148                            |Er*|229.7291483288229 -71.0064928192261|  60|    1|   13.4096  pc  |  -0.0062     +0.0062  |paral   |2020yCat.1350....0G
488 |LP 885-35                          |LM*|228.8466730035212 -71.3717203152122|  18|    1|   14.0524  pc  |  -0.0158     +0.0158  |paral   |2020yCat.1350....0G
489 |GJ 862                             |PM*|019.0937748830555 -58.7734708410377| 145|    1|   15.7105  pc  |  -0.0065     +0.0065  |paral   |2020yCat.1350....0G
490 |GJ 868                             |PM*|020.0673981551615 -61.2364803875125|  82|    1|   13.2758  pc  |  -0.0040     +0.0040  |paral   |2020yCat.1350....0G
491 |GJ 4288                            |PM*|020.6651026388650 -60.7152564462822|  18|    1|   11.851   pc  |  -0.0031     +0.0031  |paral   |2020yCat.1350....0G
492 |GJ 4289                            |PM*|020.6595151904400 -60.7182550390364|  14|    1|   11.836   pc  |  -0.0067     +0.0067  |ST-L    |2020AJ....160...83S
493 |GJ 879                             |BY*|015.9370290552806 -64.6172876361648| 282|    1|    7.6015  pc  |  -0.0015     +0.0015  |paral   |2020yCat.1350....0G
494 |LAWD 94                            |WD*|003.0751831390594 -76.1723690495722|  50|    1|   23.2021  pc  |  -0.0120     +0.0120  |paral   |2020yCat.1350....0G
495 |GJ 2006 B                          |Y*?|344.8076936604983 -82.5427404955863|  31|    1|   34.976   pc  |  -0.0508     +0.0508  |paral   |2020yCat.1350....0G
496 |GR* 9                              |** |344.8425362495573 -82.6669046137343|  19|    1|   35.008   pc  |  -0.0293     +0.0293  |paral   |2020yCat.1350....0G
497 |GJ 42.0                            |PM*|296.8997272303900 -86.7528021105578| 161|    1|   13.971   pc  |  -0.0135     +0.0135  |ST-L    |2020AJ....160...83S
498 |2MASSI J0243137-245329             |BD*|214.17326027 -64.83487112          |  44|    1|   10.7     pc  |                       |plx     |2012ApJ...753..156K
499 |GJ 1031                            |PM*|238.1579526707231 -85.9157536564076|  29|    1|   12.8267  pc  |  -0.0065     +0.0065  |paral   |2020yCat.1350....0G
500 |GJ 95                              |PM*|214.4545106535832 -70.4102109885836| 211|    1|   12.8347  pc  |  -0.0048     +0.0048  |paral   |2020yCat.1350....0G
501 |LP 830-14                          |WD*|211.1787554618821 -66.3998680236260|  27|    1|   18.4682  pc  |  -0.0121     +0.0121  |paral   |2020yCat.1350....0G
502 |* alf PsA C                        |** |031.6326948474316 -62.1537390434889|  65|    1|    7.6763  pc  |  -0.0019     +0.0019  |paral   |2020yCat.1350....0G
503 |GJ 891                             |PM*|030.1865522301090 -67.3757724457643|  62|    1|   14.897   pc  |  -0.0168     +0.0168  |ST-L    |2020AJ....160...83S
504 |APMPM J2331-2750                   |PM*|026.0348315409953 -72.2454337942240|  28|    1|   13.628   pc  |  -0.0143     +0.0143  |paral   |2020yCat.1350....0G
505 |GJ 2005                            |** |031.2917554094616 -84.0599779136308| 130|    1|    7.7329  pc  |  -0.0075     +0.0075  |paral   |2020yCat.1350....0G
506 |GJ 826.1                           |PM*|029.6513595295366 -41.3713494254236|  68|    1|   15.7763  pc  |  -0.0060     +0.0060  |paral   |2020yCat.1350....0G
507 |L 715-38                           |LM*|030.4596180707376 -47.7195211210285|  19|    1|   15.571   pc  |  -0.0089     +0.0089  |paral   |2020yCat.1350....0G
508 |GJ 884                             |PM*|037.1385650172894 -64.4141602705757| 166|    1|    8.2323  pc  |  -0.0016     +0.0016  |paral   |2020yCat.1350....0G
509 |GJ 2012                            |WD*|096.9696387322123 -84.7103657285712| 103|    1|    9.0969  pc  |  -0.0016     +0.0016  |paral   |2020yCat.1350....0G
510 |GJ 40 A                            |PM*|123.3360600456219 -85.7817130274424|  94|    1|   15.3633  pc  |  -0.0058     +0.0058  |paral   |2020yCat.1350....0G
511 |GJ 40 B                            |PM*|123.3968385052463 -85.7801998732589|  18|    1|   15.3673  pc  |  -0.0118     +0.0118  |paral   |2020yCat.1350....0G
512 |GJ 79                              |Er*|197.6580606213173 -75.3114558749242| 125|    1|   11.0599  pc  |  -0.0026     +0.0026  |paral   |2020yCat.1350....0G
513 |LP 770-20                          |PM*|198.0933785169070 -66.5584424007283|  12|    1|   19.2773  pc  |  -0.1192     +0.1192  |paral   |2020yCat.1350....0G
514 |GJ 111                             |PM*|200.8337594998208 -62.5264994987651| 219|    1|   14.2764  pc  |  -0.0325     +0.0325  |paral   |2020yCat.1350....0G
515 |GJ 843                             |PM*|034.8100514735495 -50.5428906576851|  42|    1|   12.9132  pc  |  -0.0109     +0.0109  |paral   |2020yCat.1350....0G
516 |GJ 867 B                           |SB*|037.8311252085185 -59.0705598434483| 136|    1|    8.8506  pc  |  -0.0030     +0.0030  |paral   |2020yCat.1350....0G
517 |GJ 867 A                           |SB*|037.8194061812045 -59.0738014832898| 264|    1|    8.8979  pc  |  -0.0043     +0.0043  |paral   |2020yCat.1350....0G
